code,name_he,name_en
967,אבו ג'ווייעד (שבט),ABU JUWEI'ID
935,אבו סריחאן (שבט),ABU SUREIHAN
958,אבו עבדון (שבט),ABU ABDUN
1042,אבו עמאר (שבט),ABU AMMAR
932,אבו עמרה (שבט),ABU AMRE
968,אבו קורינאת (שבט),ABU QUREINAT
1342,אבו קרינאת (יישוב),ABU QUREINAT
966,אבו רובייעה (שבט),ABU RUBEI'A
961,אבו רוקייק (שבט),ABU RUQAYYEQ
652,אבטין,IBTIN
3869,אביגיל,AVIGAYIL
3793,אבני חפץ,AVNE HEFEZ
3759,אדורה,ADORA
3987,אדוריים,ADORAYIM
3786,אובנת,OVNAT
1157,אחווה,AHAWA
3875,אחיה,AHIYA
965,אטרש (שבט),ATRASH
3891,איבי הנחל,IBBE HANAHAL
3762,איתמר,ITAMAR
478,אכסאל,IKSAL
3898,אלון,ALLON
3579,אלון מורה,ELON MORE
3556,אלמוג,ALMOG
960,אסד (שבט),ASAD
3754,אספר,ASEFAR
529,אעבלין,I'BILLIN
963,אעצם (שבט),A'SAM
959,אפיניש (שבט),AFEINISH
3598,ארגמן,ARGAMAN
199,אשדות יעקב (איחוד),ASHDOT YA'AQOV(IHUD)
188,אשדות יעקב (מאוחד),ASHDOT YA'AQOV(ME'UH
3722,אשכולות,ESHKOLOT
1298,אתגר,ETGAR
482,בועיינה-נוג'ידאת,BU'EINE-NUJEIDAT
1076,בית ברל,BET BERL
3645,בית הערבה,BET HAARAVA
353,בית זיד,BET ZEID
3864,בית חוגלה,BET HOGLA
877,בית חירות,BET HERUT
3745,בית יתיר,BET YATTIR
212,בית צבי,BET ZEVI
848,בית רבן,BET RABBAN
747,בית שקמה,BET SHIQMA
1084,בן שמן (כפר נוער),BEN SHEMEN(K.NO'AR)
2013,בן שמן (מושב),BEN SHEMEN (MOSHAV)
9800,בנימינה-גבעת עדה,BINYAMINA
1326,"בסמ""ה",BASMA
3612,בקעות,BEQA'OT
3499,בר כוכבא,BAR KOKHVA
3744,ברוכין,BRUKHIN
3757,ברוש הבקעה,BROSH HABIK'A
3710,ברכה,BERAKHA
3794,בת עין,BAT AYIN
3897,בתרון,BITRON
485,ג'ולס,JULIS
976,ג'נאביב (שבט),JUNNABIB
487,ג'ש (גוש חלב),JISH(GUSH HALAV)
3644,גבעון החדשה,GIV'ON HAHADASHA
3783,גבעות,GVA'OT
3862,גבעות הרואה,GIV'OT HARO'E
3893,גודר,GODER
1219,גורנות הגליל,GORNOT HAGALIL
92,גיניגר,GINNEGAR
3613,גיתית,GITTIT
3606,גלגל,GILGAL
369,גלעד (אבן יצחק),EVEN YIZHAQ(GAL'ED)
144,גן שלמה,GAN SHELOMO
3823,גני מודיעין,GANNE MODIIN
3758,גנים,GANNIM
340,גת (קיבוץ),GAT(QIBBUZ)
3747,דולב,DOLEV
492,דייר חנא,DEIR HANNA
493,דייר ראפאת,DEIR RAFAT
1322,הודיות,HODAYOT
1169,הוואשלה (שבט),HAWASHLA
956,הוזייל (שבט),HUZAYYEL
1208,הילה,HILLA
3639,ורד יריחו,WERED YERIHO
2742,זבארגה (שבט),ZABARGA
1290,זמר,ZEMER
1065,זמרת,ZIMRAT
1321,ח'ואלד,KHAWALED
986,ח'ואלד (שבט),KHAWALED
3764,חגי,HAGGAI
948,חוג'ייראת (ד'הרה),HUJEIRAT (DAHRA)
3642,חומש,HOMESH
3643,חיננית,HINNANIT
162,חירות,HERUT
1272,חלוץ,HALUZ
993,חמאם,HAMAM
3646,חמדת,NAHAL HEMDAT
3609,חמרה,HAMRA
4005,חספין,HASPIN
90,חפצי-בה,HEFZI-BAH
3717,חרמש,HERMESH
3870,חרשה,HARESHA
